,protein_id,CCprofiler_count,SPADE_count,highest_count_group
656,P18155,1.0,1.6666666666666667,SPADE
657,P18181,0.0,2.0,SPADE
658,P18242,0.0,1.0,SPADE
659,P18572,0.0,1.8,SPADE
660,P18653,1.0,2.25,SPADE
661,P18654,0.0,1.3333333333333333,SPADE
662,P18760,1.0,0.0,CCprofiler
663,P19096,4.0,1.0,CCprofiler
664,P19157,1.4,1.0,CCprofiler
666,P19426,0.0,2.0,SPADE
667,P19783,1.3333333333333333,2.1666666666666665,SPADE
668,P19973,1.0,3.0,SPADE
669,P20029,0.0,2.5,SPADE
670,P20060,2.0,1.0,CCprofiler
671,P20065,1.5,1.0,CCprofiler
672,P20108,1.0,1.1666666666666667,SPADE
673,P20152,1.8,1.6666666666666667,CCprofiler
674,P20444,0.0,3.0,SPADE
675,P20491,0.0,1.0,SPADE
676,P20664,1.0,1.1666666666666667,SPADE
677,P20934,0.0,1.0,SPADE
679,P21126,1.0,1.8333333333333333,SPADE
680,P21278,1.5,2.0,SPADE
681,P21279,1.0,2.3333333333333335,SPADE
682,P21460,1.0,1.3333333333333333,SPADE
684,P21619,1.25,1.5,SPADE
685,P21956,1.0,1.3333333333333333,SPADE
686,P21958,0.0,1.0,SPADE
687,P21981,1.8333333333333333,1.0,CCprofiler
688,P21995,1.0,2.0,SPADE
689,P22315,1.0,3.1666666666666665,SPADE
690,P22366,1.0,2.2,SPADE
691,P22437,1.5,1.3333333333333333,CCprofiler
692,P22682,0.0,1.6666666666666667,SPADE
693,P22892,1.6666666666666667,1.1666666666666667,CCprofiler
694,P23116,2.5,1.0,CCprofiler
695,P23198,0.0,1.4,SPADE
696,P23249,1.5,1.3333333333333333,CCprofiler
697,P23336,0.0,1.3333333333333333,SPADE
701,P23611,2.0,4.0,SPADE
702,P23780,2.5,2.0,CCprofiler
703,P23949,0.0,1.5,SPADE
705,P24063,1.25,1.0,CCprofiler
706,P24270,1.3333333333333333,1.0,CCprofiler
707,P24452,1.3333333333333333,1.0,CCprofiler
708,P24527,1.3333333333333333,1.0,CCprofiler
709,P24547,1.5,1.0,CCprofiler
710,P24604,0.0,4.0,SPADE
711,P24638,1.0,2.1666666666666665,SPADE
712,P24668,1.0,1.1666666666666667,SPADE
713,P24788,1.25,1.1666666666666667,CCprofiler
715,P25119,0.0,2.0,SPADE
716,P25206,1.5,2.1666666666666665,SPADE
717,P25425,1.0,2.0,SPADE
719,P25446,0.0,1.0,SPADE
720,P25799,1.25,2.1666666666666665,SPADE
721,P25911,1.5,2.1666666666666665,SPADE
722,P25976,1.0,3.5,SPADE
723,P26011,1.0,1.5,SPADE
724,P26039,4.0,1.0,CCprofiler
725,P26040,1.6,2.0,SPADE
726,P26041,0.0,2.1666666666666665,SPADE
727,P26043,1.2,2.1666666666666665,SPADE
728,P26151,1.0,1.5,SPADE
729,P26231,1.0,2.6666666666666665,SPADE
730,P26350,0.0,1.0,SPADE
731,P26369,2.0,1.1666666666666667,CCprofiler
733,P26450,1.0,1.8333333333333333,SPADE
734,P26516,1.0,2.1666666666666665,SPADE
735,P26638,1.1666666666666667,1.0,CCprofiler
736,P26645,2.0,2.6,SPADE
737,P26952,0.0,1.3333333333333333,SPADE
738,P26954,1.0,1.8333333333333333,SPADE
