peak_id,protein_id,genes,time,peak_apex,peak_height,peak_width,peak_area,peak_left,peak_right,snr,asymmetry,sharpness,peak_background_intensity
4741,Q9CQQ7,Atp5pb,30min,5,694920205.5555556,14,4746764605.333334,1.0,14.0,17245.644871833705,0.35714285714285715,49637157.539682545,5064700854.111114
4742,Q9CQQ8,Lsm7,30min,32,358374866.6666666,19,1840607504.3333328,22.0,40.0,8893.691149163158,-0.10526315789473684,18861835.087719295,1840607504.3333328
4743,Q9CQR4,Acot13,30min,38,279540078.88888884,11,925415315.222222,30.0,40.0,6937.269760501663,-0.5454545454545454,25412734.44444444,926866081.1111109
4744,Q9CQR6,Ppp6c,30min,9,43947005.0,13,403697462.22222215,1.0,13.0,1090.6208156730738,-0.3076923076923077,3380538.846153846,991964441.6666666
4745,Q9CQR6,Ppp6c,30min,16,41202880.0,7,268882788.3333333,13.0,19.0,1022.5206153110953,0.0,5886125.714285715,991964441.6666666
4746,Q9CQR6,Ppp6c,30min,29,21599003.888888888,10,146918540.55555558,26.0,35.0,536.0165781269029,0.3,2159900.388888889,991964441.6666666
4747,Q9CQR6,Ppp6c,30min,38,14770216.111111108,6,54395478.88888888,35.0,40.0,366.54841764000923,-0.16666666666666666,2461702.6851851847,991964441.6666666
4748,Q9CQT1,Mri1,30min,32,193088277.77777773,16,881369259.9999999,25.0,40.0,4791.819033103826,0.0625,12068017.361111108,889972609.9999999
4749,Q9CQT2,Rbm7,30min,10,11650022.22222222,19,73002820.0,1.0,19.0,289.11541841382444,0.0,613159.0643274853,74724626.0
4750,Q9CQT5,Pomp,30min,20,10226584.444444444,15,55120239.99999999,12.0,26.0,253.7903520012244,-0.13333333333333333,681772.2962962963,56228196.33333333
4751,Q9CQU3,Rer1,30min,3,26937736.33333333,12,148569982.66666663,1.0,12.0,668.5064425265429,0.5833333333333334,2244811.3611111105,148806722.99999997
4752,Q9CQV1,Pam16,30min,6,31695534.44444444,13,190302232.22222224,1.0,13.0,786.5794183015203,0.15384615384615385,2438118.034188034,190302232.22222224
4753,Q9CQV4,Retreg3,30min,6,43020002.22222222,15,351084919.2222222,1.0,15.0,1067.615641017117,0.26666666666666666,2868000.148148148,391973286.33333325
4754,Q9CQV5,Mrps24,30min,7,15643847.777777776,13,86019520.44444443,1.0,13.0,388.2290960138331,0.0,1203372.9059829058,86019520.44444443
4755,Q9CQV7,Dnajc19,30min,6,14702599.999999998,15,106232070.88888888,1.0,15.0,364.8704070849637,0.26666666666666666,980173.3333333333,109554309.77777776
4756,Q9CQV8,Ywhab,30min,32,85096179.99999999,19,516848278.111111,22.0,40.0,2111.808648672707,-0.10526315789473684,4478746.315789473,554282139.0000001
4757,Q9CQW2,Arl8b,30min,6,515235577.7777777,15,4391515816.555556,1.0,15.0,12786.460558570201,0.26666666666666666,34349038.518518515,5477658951.111113
4758,Q9CQW9,Ifitm3,30min,7,104814458.5185185,16,1040869681.7407404,1.0,16.0,2601.1517791439533,0.1875,6550903.657407406,1367712041.6296294
4759,Q9CQX6,Naa12,30min,27,17453527.44444444,14,86765328.5,21.0,34.0,433.1394218521234,0.07142857142857142,1246680.5317460315,87773012.5
4760,Q9CQX8,Kgd4,30min,5,56330657.44444442,13,253703637.2592592,1.0,13.0,1397.9425348658112,0.3076923076923077,4333127.495726494,514700926.0925924
4761,Q9CQX8,Kgd4,30min,31,58575047.70370369,13,260997288.83333322,25.0,37.0,1453.6409547067549,0.0,4505772.900284899,514700926.0925924
4762,Q9CQY5,Magt1,30min,3,118940927.77777776,12,467952908.0,1.0,12.0,2951.7245070491645,0.5833333333333334,9911743.98148148,467952908.0
4763,Q9CQZ0,Ormdl2,30min,4,6582525.11111111,5,25391019.888888888,1.0,5.0,163.35672717329635,-0.4,1316505.022222222,56654060.44444444
4764,Q9CQZ1,Hsbp1,30min,3,3605100.2,6,9538937.833333332,1.0,6.0,89.46678666059637,0.16666666666666666,600850.0333333333,10183552.833333328
4765,Q9CR00,Psmd9,30min,9,58680822.22222221,18,603842746.6666665,1.0,18.0,1456.2659320326068,0.05555555555555555,3260045.679012345,1001921337.7777778
4766,Q9CR00,Psmd9,30min,24,32262344.44444444,11,285539527.77777773,18.0,28.0,800.6457872049679,-0.18181818181818182,2932940.4040404037,1001921337.7777778
